pos,category,sub_category,abbrev,label,sub_label,field_length,min,min_numeric,max,max_numeric,units,scaling_factor,scaling_factor_numeric,missing,missing_numeric,description,dom,dom_parsed_json
NA,additional-data section,climate reference network unique data,CN2,tinlet_max_flag,quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,A flag that indicates the network’s internal evaluation of the quality status of the maximum temperature of the Geonor inlet for the hour. Most users will find the preceding quality code TINLET_QC to be the simplest and most useful,A specific domain comprised of the numeric characters (0-9) 0 = Passed all quality control checks other  Did not pass all quality checks,"{""0"":""Passed all quality control checks other Did not pass all quality checks""}"
NA,additional-data section,climate reference network unique data,CN2,opendoor_tm,equipment status,2,00,0,60,60,minutes,NA,NA,99,99,The time in minutes the datalogger door was open during the hour.,A general domain comprised of the numeric characters (0-9). 42 99 = Missing.,"{""99"":""Missing.""}"
NA,additional-data section,climate reference network unique data,CN2,opendoor_tm_qc,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that indicates ISD’s evaluation of the quality status of the time the datalogger door was open.,A specific domain comprised of the numeric characters (0-9). 1 = Passed all quality control checks 3 = Failed all quality control checks 9 = Missing,"{""1"":""Passed all quality control checks"",""3"":""Failed all quality control checks"",""9"":""Missing""}"
NA,additional-data section,climate reference network unique data,CN2,opendoor_tm_flag,quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,A flag that indicates the network’s internal evaluation of the quality status of the time the datalogger door was open.,A specific domain comprised of the numeric characters (0-9) 0 = Passed all quality control checks other  Did not pass all quality checks,"{""0"":""Passed all quality control checks other Did not pass all quality checks""}"
NA,additional-data section,climate reference network unique data,CN3,secondary hourly diagnostic section,identifier,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,The identifier that indicates an hourly observation of miscellaneous diagnostic data. This section appears in the last ISD record of the hour,A specific domain comprised of the characters in the ASCII character set. CN3 An indicator of the following items: REFRESAVG resistance REFRESAVG_QC quality code REFRESAVG_FLAG quality code DSIGNATURE identifier DSIGNATURE_QC quality code DSIGNATURE_FLAG quality code,"{""items"":""REFRESAVG resistance REFRESAVG_QC quality code REFRESAVG_FLAG quality code DSIGNATURE identifier DSIGNATURE_QC quality code DSIGNATURE_FLAG quality code""}"
NA,additional-data section,climate reference network unique data,CN3,refresavg,resistance,6,000000,0,999998,999998,ohms,10,10,999999,999999,The reference resistor average.,A general domain comprised of the numeric characters (0-9). 999999 = Missing.,"{""999999"":""Missing.""}"
NA,additional-data section,climate reference network unique data,CN3,refresavg_qc,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that indicates ISD’s evaluation of the quality status of the datalogger reference resistor average.,A specific domain comprised of the numeric characters (0-9). 1 = Passed all quality control checks 3 = Failed all quality control checks 9 = Missing,"{""1"":""Passed all quality control checks"",""3"":""Failed all quality control checks"",""9"":""Missing""}"
NA,additional-data section,climate reference network unique data,CN3,refresavg_flag,quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,A flag that indicates the network’s internal evaluation of the quality status of the reference resistor average. Most users will find the preceding quality code REFRESAVG_QC to be the simplest and most useful quality indicator.,A specific domain comprised of the numeric characters (0-9) 0 = Passed all quality control checks other  Did not pass all quality checks,"{""0"":""Passed all quality control checks other Did not pass all quality checks""}"
NA,additional-data section,climate reference network unique data,CN3,dsignature,identifier,6,000000,0,999998,999998,NA,10,10,999999,999999,A signature generated by the datalogger which changes if there is a content or sequence change in the datalogger programs.,A general domain comprised of the numeric characters (0-9). 999999 = Missing.,"{""999999"":""Missing.""}"
NA,additional-data section,climate reference network unique data,CN3,dsignature_qc,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that indicates ISD’s evaluation of the quality status of the datalogger signature.,A specific domain comprised of the numeric characters (0-9). 1 = Passed all quality control checks 3 = Failed all quality control checks 9 = Missing,"{""1"":""Passed all quality control checks"",""3"":""Failed all quality control checks"",""9"":""Missing""}"
NA,additional-data section,climate reference network unique data,CN3,dsignature_flag,quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,A flag that indicates the network’s internal evaluation of the quality status of the datalogger signature. Most users will find the preceding quality code DSIGNATURE_QC to be the simplest and most useful quality indicator.,A specific domain comprised of the numeric characters (0-9) 0 = Passed all quality control checks other  Did not pass all quality checks,"{""0"":""Passed all quality control checks other Did not pass all quality checks""}"
NA,additional-data section,climate reference network unique data,CN4,secondary hourly diagnostic section,identifier,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,The identifier that indicates another hourly observation of miscellaneous diagnostic data. This section appears in the last ISD record of the hour,A specific domain comprised of the characters in the ASCII character set. CN4 An indicator of the following items: LIQUID-PRECIPITATION gauge heater flag bit field LIQUID-PRECIPITATION gauge flag quality code LIQUID-PRECIPITATION gauge flag quality code DOORFLAG field DOORFLAG quality code DOORFLAG quality code FORTRANS wattage FORTRANS wattage quality code FORTRANS wattage quality code REFLTRANS wattage REFLTRANS wattage quality code REFLTRANS wattage quality code,"{""items"":""LIQUID-PRECIPITATION gauge heater flag bit field LIQUID-PRECIPITATION gauge flag quality code LIQUID-PRECIPITATION gauge flag quality code DOORFLAG field DOORFLAG quality code DOORFLAG quality code FORTRANS wattage FORTRANS wattage quality code FORTRANS wattage quality code REFLTRANS wattage REFLTRANS wattage quality code REFLTRANS wattage quality code""}"
NA,additional-data section,climate reference network unique data,CN4,liquid precipitation,gauge heater flag bit field,1,0,0,9,9,NA,NA,NA,9,9,The code that indicates the gauge heater flag bit field setting.,A specific domain comprised of the numeric characters (0-1). 0 = Off 1 = On 9 = Missing MIN: 0 MAX: 9,"{""0"":""Off"",""1"":""On"",""9"":""Missing"",""MIN"":""0"",""MAX"":""9""}"
NA,additional-data section,climate reference network unique data,CN4,liquid precipitation,gauge heater flag quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that indicates ISD’s evaluation of the quality status of the gauge heater flag code.,A specific domain comprised of the numeric characters (0-9). 1 = Passed all quality control checks 3 = Failed all quality control checks 9 = Missing,"{""1"":""Passed all quality control checks"",""3"":""Failed all quality control checks"",""9"":""Missing""}"
NA,additional-data section,climate reference network unique data,CN4,liquid precipitation,gauge heater flag quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,A flag that indicates the network’s internal evaluation of the quality status of the gauge heater flag code. Most users will find the preceding quality code to be the simplest and most useful quality indicator.,A specific domain comprised of the numeric characters (0-9) 44 0 = Passed all quality control checks other  Did not pass all quality checks,"{""0"":""Passed all quality control checks other Did not pass all quality checks""}"
NA,additional-data section,climate reference network unique data,CN4,doorflag,field,1,0,0,9,9,NA,NA,NA,9,9,The code that indicates the datalogger door bit field setting.,A specific domain comprised of the numeric characters (0-1). 0 = Off 1 = On 9 = Missing MIN: 0 MAX: 9,"{""0"":""Off"",""1"":""On"",""9"":""Missing"",""MIN"":""0"",""MAX"":""9""}"
NA,additional-data section,climate reference network unique data,CN4,doorflag,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that indicates ISD’s evaluation of the quality status of the datalogger door bit field setting.,A specific domain comprised of the numeric characters (0-9). 1 = Passed all quality control checks 3 = Failed all quality control checks 9 = Missing,"{""1"":""Passed all quality control checks"",""3"":""Failed all quality control checks"",""9"":""Missing""}"
NA,additional-data section,climate reference network unique data,CN4,doorflag,quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,A flag that indicates the network’s internal evaluation of the quality status of the datalogger door bit field setting code. Most users will find the preceding quality code to be the simplest and most useful quality indicator.,A specific domain comprised of the numeric characters (0-9) 0 = Passed all quality control checks other  Did not pass all quality checks,"{""0"":""Passed all quality control checks other Did not pass all quality checks""}"
NA,additional-data section,climate reference network unique data,CN4,fortrans,wattage,3,000,0,500,500,Watts,10,10,999,999,Forward transmitter RF power in tenths of watts MIN: 000 MAX: 500 UNITS: Watts,A general domain comprised of the numeric characters (0-9). 999 = Missing,"{""999"":""Missing""}"
NA,additional-data section,climate reference network unique data,CN4,fortrans,wattage quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that indicates ISD’s evaluation of the quality status of the forward transmitter RF power.,A specific domain comprised of the numeric characters (0-9). 1 = Passed all quality control checks 3 = Failed all quality control checks 9 = Missing,"{""1"":""Passed all quality control checks"",""3"":""Failed all quality control checks"",""9"":""Missing""}"
NA,additional-data section,climate reference network unique data,CN4,fortrans,wattage quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,A flag that indicates the network’s internal evaluation of the quality status of the forward transmitter RF power. Most users will find the preceding quality code to be the simplest and most useful quality indicator.,A specific domain comprised of the numeric characters (0-9) 0 = Passed all quality control checks other  Did not pass all quality checks,"{""0"":""Passed all quality control checks other Did not pass all quality checks""}"
NA,additional-data section,climate reference network unique data,CN4,refltrans,wattage,3,000,0,500,500,Watts,10,10,999,999,Reflected transmitter RF power in tenths of watts MIN: 000 MAX: 500 UNITS: Watts,A general domain comprised of the numeric characters (0-9). 999 = Missing,"{""999"":""Missing""}"
